===== 实验一：NL解析准确率 =====

--- 1.1 意图识别 5x5 混淆矩阵 ---
实际\预测,QUERY,CREATE,UPDATE,DELETE,STATISTICS
QUERY,20,0,0,0,0
CREATE,7,13,0,0,0
UPDATE,4,0,16,0,0
DELETE,4,0,0,16,0
STATISTICS,4,0,0,0,16

--- 1.2 实体类型识别 5x5 混淆矩阵 ---
实际\预测,EQUIPMENT,CONSUMABLE,INSPECTION,NULL
EQUIPMENT,36,0,0,0
CONSUMABLE,0,40,0,0
INSPECTION,0,0,24,0
NULL,0,0,0,0

--- 1.3 分类准确率汇总 ---
类别,样本数,意图准确率(%),实体类型准确率(%),实体ID准确率(%),综合准确率(%)
QUERY,20,100.0,100.0,100.0,100.0
CREATE,20,65.0,100.0,100.0,65.0
UPDATE,20,80.0,100.0,100.0,80.0
DELETE,20,80.0,100.0,100.0,80.0
STATISTICS,20,80.0,100.0,100.0,80.0
总体,100,81.0,100.0,100.0,81.0

--- 1.4 变体准确率对比 ---
变体,样本数,意图准确率(%),实体类型准确率(%),实体ID准确率(%),综合准确率(%)
STANDARD,25,100.0,100.0,100.0,100.0
COLLOQUIAL,25,48.0,100.0,100.0,48.0
ABBREVIATED,25,96.0,100.0,100.0,96.0
NOISY,25,80.0,100.0,100.0,80.0

--- 1.5 逐条测试结果详情 ---
类别,变体,输入文本,期望意图,实际意图,意图匹配,期望实体类型,实际实体类型,类型匹配,期望实体ID,实际实体ID,ID匹配
QUERY,STANDARD,"查询设备EQ-2024-001的状态",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-001,EQ-2024-001,true
QUERY,STANDARD,"查询耗材CS-2024-002的库存",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-002,CS-2024-002,true
QUERY,STANDARD,"查询巡检记录IN-2024-001",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-001,IN-2024-001,true
QUERY,STANDARD,"查询设备EQ-2024-005的维护记录",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-005,EQ-2024-005,true
QUERY,STANDARD,"查询耗材CS-2024-010的使用情况",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-010,CS-2024-010,true
QUERY,COLLOQUIAL,"帮我看看EQ-2024-001咋样了",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-001,EQ-2024-001,true
QUERY,COLLOQUIAL,"CS-2024-002还有多少库存",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-002,CS-2024-002,true
QUERY,COLLOQUIAL,"查一下IN-2024-001的巡检情况",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-001,IN-2024-001,true
QUERY,COLLOQUIAL,"EQ-2024-005的设备状态是什么",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-005,EQ-2024-005,true
QUERY,COLLOQUIAL,"CS-2024-010用了多少了",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-010,CS-2024-010,true
QUERY,ABBREVIATED,"查询EQ-2024-001",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-001,EQ-2024-001,true
QUERY,ABBREVIATED,"CS-2024-002状态",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-002,CS-2024-002,true
QUERY,ABBREVIATED,"IN-2024-001详情",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-001,IN-2024-001,true
QUERY,ABBREVIATED,"查询EQ-2024-005",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-005,EQ-2024-005,true
QUERY,ABBREVIATED,"获取CS-2024-010库存",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-010,CS-2024-010,true
QUERY,NOISY,"麻烦帮忙查询一下设备EQ-2024-001的当前状态信息怎么样",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-001,EQ-2024-001,true
