===== 实验一：NL解析准确率 =====

--- 1.1 意图识别 5x5 混淆矩阵 ---
实际\预测,QUERY,CREATE,UPDATE,DELETE,STATISTICS
QUERY,98,0,0,0,2
CREATE,57,43,0,0,0
UPDATE,36,0,62,0,2
DELETE,62,0,0,38,0
STATISTICS,37,0,0,0,63

--- 1.2 实体类型识别 5x5 混淆矩阵 ---
实际\预测,EQUIPMENT,CONSUMABLE,INSPECTION,NULL
EQUIPMENT,180,0,0,0
CONSUMABLE,0,159,0,0
INSPECTION,0,0,161,0
NULL,0,0,0,0

--- 1.3 分类准确率汇总 ---
类别,样本数,意图准确率(%),实体类型准确率(%),实体ID准确率(%),综合准确率(%)
QUERY,100,98.0,100.0,100.0,98.0
CREATE,100,43.0,100.0,100.0,43.0
UPDATE,100,62.0,100.0,100.0,62.0
DELETE,100,38.0,100.0,100.0,38.0
STATISTICS,100,63.0,100.0,100.0,63.0
总体,500,60.8,100.0,100.0,60.8

--- 1.4 变体准确率对比 ---
变体,样本数,意图准确率(%),实体类型准确率(%),实体ID准确率(%),综合准确率(%)
STANDARD,125,77.6,100.0,100.0,77.6
COLLOQUIAL,125,20.0,100.0,100.0,20.0
ABBREVIATED,125,73.6,100.0,100.0,73.6
NOISY,125,72.0,100.0,100.0,72.0

--- 1.5 逐条测试结果详情 ---
类别,变体,输入文本,期望意图,实际意图,意图匹配,期望实体类型,实际实体类型,类型匹配,期望实体ID,实际实体ID,ID匹配
QUERY,STANDARD,"查询设备EQ-2024-001的工作状态",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-001,EQ-2024-001,true
QUERY,STANDARD,"查找设备EQ-2024-002的运行参数",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-002,EQ-2024-002,true
QUERY,STANDARD,"获取设备EQ-2024-003的维护记录",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-003,EQ-2024-003,true
QUERY,STANDARD,"查看设备EQ-2024-004的故障历史",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-004,EQ-2024-004,true
QUERY,STANDARD,"显示设备EQ-2024-005的当前温度",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-005,EQ-2024-005,true
QUERY,STANDARD,"查询设备EQ-2024-006的安装日期",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-006,EQ-2024-006,true
QUERY,STANDARD,"查找设备EQ-2024-007的负责人信息",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-007,EQ-2024-007,true
QUERY,STANDARD,"获取设备EQ-2024-008的保养日志",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-008,EQ-2024-008,true
QUERY,STANDARD,"查看设备EQ-2024-009的运行时长",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-009,EQ-2024-009,true
QUERY,STANDARD,"查询耗材CS-2024-001的库存数量",QUERY,STATISTICS,false,CONSUMABLE,CONSUMABLE,true,CS-2024-001,CS-2024-001,true
QUERY,STANDARD,"查找耗材CS-2024-002的使用记录",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-002,CS-2024-002,true
QUERY,STANDARD,"获取耗材CS-2024-003的进货信息",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-003,CS-2024-003,true
QUERY,STANDARD,"查看耗材CS-2024-004的消耗趋势",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-004,CS-2024-004,true
QUERY,STANDARD,"显示耗材CS-2024-005的当前库存",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-005,CS-2024-005,true
QUERY,STANDARD,"查询耗材CS-2024-006的规格参数",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-006,CS-2024-006,true
QUERY,STANDARD,"查找耗材CS-2024-007的生产批次",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-007,CS-2024-007,true
QUERY,STANDARD,"获取耗材CS-2024-008的入库时间",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-008,CS-2024-008,true
