===== 实验七：HybridNLParser三模式对比 =====

--- 7.1 三模式总体对比 ---
Mode,Intent Acc(%),Overall Acc(%),Avg Latency(ms),LLM Trigger Rate(%)
Rule Only,61.2,61.2,<1,0
Hybrid,90.6,82.8,457.8,47.8
LLM Only,98.0,84.0,798,100

--- 7.2 Hybrid按变体分析 ---
Variant,Rule Intent(%),Rule Overall(%),Hybrid Intent(%),Hybrid Overall(%),LLM Only Intent(%),LLM Only Overall(%),Hybrid LLM Rate(%)
STANDARD,79.2,79.2,94.4,94.4,100.0,100.0,23.2
COLLOQUIAL,20.0,20.0,80.8,60.0,96.0,80.0,100.0
ABBREVIATED,73.6,73.6,96.0,86.4,100.0,64.0,31.2
NOISY,72.0,72.0,91.2,90.4,96.0,92.0,36.8

--- 7.3 Hybrid按类别分析 ---
Category,Rule Intent(%),Rule Overall(%),Hybrid Intent(%),Hybrid Overall(%),LLM Trigger Count,LLM Trigger Rate(%)
QUERY,99.0,99.0,96.0,88.0,49,49.0
CREATE,43.0,43.0,90.0,81.0,57,57.0
UPDATE,64.0,64.0,98.0,90.0,36,36.0
DELETE,38.0,38.0,88.0,77.0,62,62.0
STATISTICS,62.0,62.0,81.0,78.0,35,35.0

--- 7.4 Hybrid逐条详情 ---
序号,类别,变体,输入,期望意图,实际意图,意图OK,来源,置信度,延迟(ms)
1,QUERY,STANDARD,"查询设备EQ-2024-001的工作状态",QUERY,QUERY,true,RULE,0.80,0
2,QUERY,STANDARD,"查找设备EQ-2024-002的运行参数",QUERY,QUERY,true,RULE,0.80,0
3,QUERY,STANDARD,"获取设备EQ-2024-003的维护记录",QUERY,QUERY,true,RULE,0.80,0
4,QUERY,STANDARD,"查看设备EQ-2024-004的故障历史",QUERY,QUERY,true,RULE,0.80,0
5,QUERY,STANDARD,"显示设备EQ-2024-005的当前温度",QUERY,QUERY,true,LLM,0.95,1142
6,QUERY,STANDARD,"查询设备EQ-2024-006的安装日期",QUERY,QUERY,true,RULE,0.80,0
7,QUERY,STANDARD,"查找设备EQ-2024-007的负责人信息",QUERY,QUERY,true,RULE,0.80,0
8,QUERY,STANDARD,"获取设备EQ-2024-008的保养日志",QUERY,QUERY,true,RULE,0.80,0
9,QUERY,STANDARD,"查看设备EQ-2024-009的运行时长",QUERY,QUERY,true,RULE,0.80,0
10,QUERY,STANDARD,"查询耗材CS-2024-001的库存数量",QUERY,STATISTICS,false,RULE,1.00,0
11,QUERY,STANDARD,"查找耗材CS-2024-002的使用记录",QUERY,QUERY,true,RULE,0.80,0
12,QUERY,STANDARD,"获取耗材CS-2024-003的进货信息",QUERY,QUERY,true,RULE,0.80,0
13,QUERY,STANDARD,"查看耗材CS-2024-004的消耗趋势",QUERY,QUERY,true,RULE,0.80,0
