===== 实验四：DeepSeek V4 Flash vs 规则引擎基线对比 =====

--- 4.1 规则引擎 vs DeepSeek 准确率对比 ---
类别,样本数,规则意图(%),LLM意图(%),规则类型(%),LLM类型(%),规则ID(%),LLM ID(%),规则综合(%),LLM综合(%)
QUERY,20,100.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0
CREATE,20,65.0,100.0,100.0,90.0,100.0,100.0,65.0,90.0
UPDATE,20,80.0,100.0,100.0,80.0,100.0,100.0,80.0,80.0
DELETE,20,80.0,100.0,100.0,80.0,100.0,100.0,80.0,80.0
STATISTICS,20,80.0,90.0,100.0,80.0,100.0,95.0,80.0,80.0
总体,100,81.0,98.0,100.0,84.0,100.0,99.0,81.0,84.0

--- 4.2 变体准确率对比 (核心对比表) ---
变体,规则意图(%),LLM意图(%),规则类型(%),LLM类型(%),规则ID(%),LLM ID(%),规则综合(%),LLM综合(%)
STANDARD,25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COLLOQUIAL,25,48.0,96.0,100.0,80.0,100.0,100.0,48.0,80.0
ABBREVIATED,25,96.0,100.0,100.0,64.0,100.0,100.0,96.0,64.0
NOISY,25,80.0,96.0,100.0,92.0,100.0,96.0,80.0,92.0

--- 4.3 延迟对比 ---
方法,平均延迟(ms),P50(ms),P95(ms),P99(ms),最小(ms),最大(ms)
Rule Engine,<1,<1,<1,<1,<1,<1
DeepSeek V4 Flash,7078.4,798,1128,12155,577,603691

--- 4.4 逐条测试结果 ---
类别,变体,输入,规则意图,LLM意图,规则类型,LLM类型,规则ID,LLM ID,LLM延迟(ms)
QUERY,STANDARD,"查询设备EQ-2024-001的状态",QUERY,QUERY,EQUIPMENT,EQUIPMENT,[EQ-2024-001],[EQ-2024-001],1074
QUERY,STANDARD,"查询耗材CS-2024-002的库存",QUERY,QUERY,CONSUMABLE,CONSUMABLE,[CS-2024-002],[CS-2024-002],877
QUERY,STANDARD,"查询巡检记录IN-2024-001",QUERY,QUERY,INSPECTION,INSPECTION,[IN-2024-001],[IN-2024-001],622
QUERY,STANDARD,"查询设备EQ-2024-005的维护记录",QUERY,QUERY,EQUIPMENT,EQUIPMENT,[EQ-2024-005],[EQ-2024-005],640
QUERY,STANDARD,"查询耗材CS-2024-010的使用情况",QUERY,QUERY,CONSUMABLE,CONSUMABLE,[CS-2024-010],[CS-2024-010],740
QUERY,COLLOQUIAL,"帮我看看EQ-2024-001咋样了",QUERY,QUERY,EQUIPMENT,EQUIPMENT,[EQ-2024-001],[EQ-2024-001],632
QUERY,COLLOQUIAL,"CS-2024-002还有多少库存",QUERY,QUERY,CONSUMABLE,CONSUMABLE,[CS-2024-002],[CS-2024-002],1117
